매장명,주소,전화번호,카테고리,카카오맵링크
옆커폰 무실점,강원특별자치도 원주시 시청로 70 1층,010-7426-7478,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰성지 무실동 본점,강원특별자치도 원주시 능라동길 48 1층,010-3146-3262,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
딸부자통신,강원특별자치도 원주시 흥양로 4,010-9926-1088,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰성지 밴드폰 원주무실점,강원특별자치도 원주시 시청로 11 채움플러스무실1차 1층 109호,010-3146-3262,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
해랑정보통신 KT행구직영점,강원특별자치도 원주시 영랑길 20-1 골드클래스 상가동 105호,010-8081-4712,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰성지 밴드폰 원주반곡점,강원특별자치도 원주시 양지로 80 1층 102호,010-3146-3262,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰쇼핑몰열정컴퍼니 반곡점,강원특별자치도 원주시 늘품로 189 1층,010-4336-9706,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
원주 에이민통신,강원특별자치도 원주시 현충로 300 1층 101호,010-4262-3570,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰쇼핑몰 우산점,강원특별자치도 원주시 우산로 67 휴대폰성지,010-3384-9033,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
휴대폰쇼핑몰 태장점,강원특별자치도 원주시 현충로 243 1층,010-4412-0040,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%9B%90%EC%A3%BC&tab=place#none
