매장명,주소,전화번호,카테고리,카카오맵링크
소녀폰 성남모란점,경기 성남시 중원구 성남대로 1133 성남메트로칸 2층 9-B호,010-7778-4959,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
옆커폰 분당점,경기 성남시 분당구 분당로263번길 39 1층,010-6333-3649,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
성남휴대폰성지 모두의폰 금광점,경기 성남시 중원구 광명로 339 1층 101호,010-8686-8612,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
휴대폰성지 대박통신 위례직영점,경기 성남시 수정구 위례광장로 310 우성트램타워 B동 101호,010-9879-6444,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
성남휴대폰 성지 산성점,경기 성남시 수정구 수정로 277 성한빌딩 106호,010-5353-9153,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
휴대폰성지,경기 성남시 분당구 성남대로 345 정자역프라자 1층 112호,010-8199-9759,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
휴대폰성지 일타폰 판교점,경기 성남시 분당구 판교역로 136 힐스테이트판교역 지하1층 B1113호,010-6671-0100,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
휴대폰가게 은행시장점,경기 성남시 수정구 산성대로 529 1층 1호,010-2103-6622,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
휴대폰성지,경기 성남시 분당구 판교역로241번길 22 1층 115호,010-5029-9892,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
몬스터폰 야탑점,경기 성남시 분당구 야탑로139번길 6-14 지하층 2호,010-8371-6516,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EC%84%B1%EB%82%A8&tab=place#none
