매장명,주소,전화번호,카테고리,카카오맵링크
휴대폰성지 구로프로모바일,서울 구로구 구로중앙로 229 월드프라자 1층 17호 휴대폰성지 구로 프로모바일,010-9998-2155,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 청년폰 신도림테크노마트점,서울 구로구 새말로 97 신도림테크노마트 9층 112호,010-9939-2860,,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 정직폰,서울 구로구 새말로 97 신도림테크노마트 9층 296호,010-4526-9987,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
신도림휴대폰성지,"서울 구로구 새말로 97 신도림테크노 9층 183호, 20번(희망) 강철 옆매장",010-5764-0320,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰성지 서울지점,서울 구로구 새말로 97 신도림테크노마트 판매동 9층 327호,010-5564-1343,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
다이렉트텔레콤,"서울 구로구 새말로 97 신도림테크노마트 9층 87,88,89호",010-5019-7017,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
퀸모바일,서울 구로구 새말로 97 신도림테크노마트 9층 30번,010-8289-9403,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
러너모바일,서울 구로구 새말로 97 신도림테크노마트 9층 15번,010-8836-9907,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
KR모바일 구로신도림14호점,서울 구로구 새말로 97 신도림테크노마트 9층 27번 노랑기둥,010-9791-9727,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
지우모바일,서울 구로구 새말로 97 신도림테크노마트 9층 35호,010-2285-4233,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%8B%A0%EB%8F%84%EB%A6%BC%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
