매장명,주소,전화번호,카테고리,카카오맵링크
폰맛집,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-042, 58호",010-9262-4338,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
다우리,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-65,66호",010-4444-2522,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
뚱이통신,서울 광진구 광나루로56길 85 테크노마트21 6층 B075호,010-8984-6161,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
더드림,서울 광진구 광나루로56길 85 강변테크노마트 6층 D042호,010-9262-4338,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
핸드폰클리닉 구의점,서울 광진구 광나루로 521 1층,010-5373-8118,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
에이치디마케팅 강변1호점,서울 광진구 광나루로56길 85 테크노마트21 6층 053호,010-6863-1053,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
모든폰 강변테크노점,서울 광진구 광나루로56길 85 테크노-마트21 6층 B-17호,010-4006-1921,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
필승,서울 광진구 광나루로56길 85 테크노마트 6층 D-042호,010-2989-2155,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
에이스모바일,서울 광진구 광나루로56길 85 테크노마트21 6층 C-63호,010-2488-2277,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
포도,"서울 광진구 광나루로56길 85 테크노마트21 6층 D032,033호",010-2000-4889,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
은혜통신,서울 광진구 자양로 194 1층,010-7437-4442,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰매장 그린 아차산점,서울 광진구 영화사로 30 1층,010-6304-6664,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
옆커폰 중곡점,서울 광진구 용마산로 58 1층,010-6362-8893,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰 파크 천호성지점,서울 강동구 천호대로 1006 101호,010-2065-8470,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
샵모바일,서울 강동구 천호대로 1006 1층 101호,010-265-8470,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B4%91%EC%9E%A5%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
