지역명_매장명,매장명,지역명,시,군구,전화번호,주소,링크
강원특별자치도 강릉시_노란마켓 강릉점,노란마켓 강릉점,강원특별자치도 강릉시,강원특별자치도,강릉시,010-2967-1236,강원특별자치도 강릉시 강릉대로 261-2 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_뉴스타모바일 강릉점,뉴스타모바일 강릉점,강원특별자치도 강릉시,강원특별자치도,강릉시,010-5718-2066,강원특별자치도 강릉시 경강로 2446 2층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_당근폰마켓,당근폰마켓,강원특별자치도 강릉시,강원특별자치도,강릉시,010-8410-7266,강원특별자치도 강릉시 강릉대로 170 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_소녀폰 강릉점,소녀폰 강릉점,강원특별자치도 강릉시,강원특별자치도,강릉시,010-5794-2147,강원특별자치도 강릉시 하슬라로 18 2층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_솔향텔레콤,솔향텔레콤,강원특별자치도 강릉시,강원특별자치도,강릉시,010-4589-7497,강원특별자치도 강릉시 토성로 152-1 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_와이즈모바일 4호점,와이즈모바일 4호점,강원특별자치도 강릉시,강원특별자치도,강릉시,010-5785-3934,강원특별자치도 강릉시 금성로 1 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_원모바일,원모바일,강원특별자치도 강릉시,강원특별자치도,강릉시,010-9912-9307,강원특별자치도 강릉시 임영로 164 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_정식텔레콤,정식텔레콤,강원특별자치도 강릉시,강원특별자치도,강릉시,010-3189-7717,강원특별자치도 강릉시 용지로 19 현대아파트 상가 106호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_퍼팩트통신,퍼팩트통신,강원특별자치도 강릉시,강원특별자치도,강릉시,010-8191-5696,강원특별자치도 강릉시 산양큰길22번길 47 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 강릉시_폰플러스,폰플러스,강원특별자치도 강릉시,강원특별자치도,강릉시,010-5773-9116,강원특별자치도 강릉시 하평길 37 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 고성군_옆커폰 강원고성점,옆커폰 강원고성점,강원특별자치도 고성군,강원특별자치도,고성군,010-5222-0102,강원특별자치도 고성군 간성읍 수성로 20 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 동해시_아이픽스굿,아이픽스굿,강원특별자치도 동해시,강원특별자치도,동해시,010-8680-7773,강원특별자치도 동해시 중앙로 234 이주민상가 1층 16호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%9C%ED%86%B5&tab=place#none
강원특별자치도 동해시_태화텔레콤,태화텔레콤,강원특별자치도 동해시,강원특별자치도,동해시,010-7756-8010,강원특별자치도 동해시 효자남길 20 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
강원특별자치도 동해시_폰마트 동해점,폰마트 동해점,강원특별자치도 동해시,강원특별자치도,동해시,010-5670-5796,강원특별자치도 동해시 한섬로 10,https://map.kakao.com/?from=total&nil_suggest=btn&q=%ED%9C%B4%EB%8C%80%ED%8F%B0+%EA%B0%95%EC%9B%90&tab=place#none
