매장명,주소,전화번호,카테고리,카카오맵링크
옆커폰 중곡점,서울 광진구 용마산로 58 1층,010-6362-8893,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
앤모바일 선불폰개통,서울 광진구 긴고랑로10길 6,010-2333-3218,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
월드텔레콤,서울 광진구 천호대로 549 408호,010-6281-4791,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
중곡동중고폰선불폰,서울 광진구 긴고랑로7길 26 1층,010-5892-3883,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
휴대폰매장 그린 아차산점,서울 광진구 영화사로 30 1층,010-6304-6664,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
에스디모바일,서울 광진구 긴고랑로22길 23,010-6423-2032,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
엔피엔피,서울 광진구 천호대로102길 20 1층 104호,010-3444-0066,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
옆커폰 군자점,서울 광진구 군자로 80 1층,010-4902-2836,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
무진핸드폰매장,서울 중랑구 사가정로 385-1 1층,010-3351-4887,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
은혜통신,서울 광진구 자양로 194 1층,010-7437-4442,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
진텔레콤,서울 중랑구 면목로35길 8 1층,010-7625-2150,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
핸드폰클리닉 구의점,서울 광진구 광나루로 521 1층,010-5373-8118,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
하이컴퍼니,서울 동대문구 장한로32길 27 1층 102호,010-5564-4125,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
마이텔레콤,서울 중랑구 면목로44라길 2,010-3937-9757,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
준 텔레콤,서울 동대문구 답십리로66길 75 1층 105호,010-8899-4494,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
건대중고폰 퐁구폰,서울 광진구 능동로11길 8-5 4층 401호,010-5063-8784,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
건대선불폰개통센터,서울 광진구 아차산로27길 13-1,010-2940-9606,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
폰맛집,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-042, 58호",010-9262-4338,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
다우리,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-65,66호",010-4444-2522,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
뚱이통신,서울 광진구 광나루로56길 85 테크노마트21 6층 B075호,010-8984-6161,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
에이치디마케팅 강변1호점,서울 광진구 광나루로56길 85 테크노마트21 6층 053호,010-6863-1053,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
더드림,서울 광진구 광나루로56길 85 강변테크노마트 6층 D042호,010-9262-4338,휴대폰판매,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
